All Method Calls (2202)

<net.sourceforge.squirrel_sql.plugins.graph.xmlbeans.ColumnInfoXmlBean; setColumnType[java.lang.String]; void; net.sourceforge.squirrel_sql.plugins.graph.ColumnInfo; getXmlBean[]; net.sourceforge.squirrel_sql.plugins.graph.xmlbeans.ColumnInfoXmlBean; null; ret>
<net.sourceforge.squirrel_sql.plugins.graph.xmlbeans.ColumnInfoXmlBean; setColumnSize[int]; void; net.sourceforge.squirrel_sql.plugins.graph.ColumnInfo; getXmlBean[]; net.sourceforge.squirrel_sql.plugins.graph.xmlbeans.ColumnInfoXmlBean; null; ret>
<net.sourceforge.squirrel_sql.plugins.graph.xmlbeans.ColumnInfoXmlBean; setDecimalDigits[int]; void; net.sourceforge.squirrel_sql.plugins.graph.ColumnInfo; getXmlBean[]; net.sourceforge.squirrel_sql.plugins.graph.xmlbeans.ColumnInfoXmlBean; null; ret>
<net.sourceforge.squirrel_sql.plugins.graph.xmlbeans.ColumnInfoXmlBean; setNullable[boolean]; void; net.sourceforge.squirrel_sql.plugins.graph.ColumnInfo; getXmlBean[]; net.sourceforge.squirrel_sql.plugins.graph.xmlbeans.ColumnInfoXmlBean; null; ret>
<net.sourceforge.squirrel_sql.plugins.graph.xmlbeans.ColumnInfoXmlBean; setPrimaryKey[boolean]; void; net.sourceforge.squirrel_sql.plugins.graph.ColumnInfo; getXmlBean[]; net.sourceforge.squirrel_sql.plugins.graph.xmlbeans.ColumnInfoXmlBean; null; ret>
<net.sourceforge.squirrel_sql.plugins.graph.xmlbeans.ColumnInfoXmlBean; setIndex[int]; void; net.sourceforge.squirrel_sql.plugins.graph.ColumnInfo; getXmlBean[]; net.sourceforge.squirrel_sql.plugins.graph.xmlbeans.ColumnInfoXmlBean; null; ret>
<net.sourceforge.squirrel_sql.plugins.graph.xmlbeans.ColumnInfoXmlBean; setImportedFromTable[java.lang.String]; void; net.sourceforge.squirrel_sql.plugins.graph.ColumnInfo; getXmlBean[]; net.sourceforge.squirrel_sql.plugins.graph.xmlbeans.ColumnInfoXmlBean; null; ret>
<net.sourceforge.squirrel_sql.plugins.graph.xmlbeans.ColumnInfoXmlBean; setImportedColumn[java.lang.String]; void; net.sourceforge.squirrel_sql.plugins.graph.ColumnInfo; getXmlBean[]; net.sourceforge.squirrel_sql.plugins.graph.xmlbeans.ColumnInfoXmlBean; null; ret>
<net.sourceforge.squirrel_sql.plugins.graph.xmlbeans.ColumnInfoXmlBean; setConstraintName[java.lang.String]; void; net.sourceforge.squirrel_sql.plugins.graph.ColumnInfo; getXmlBean[]; net.sourceforge.squirrel_sql.plugins.graph.xmlbeans.ColumnInfoXmlBean; null; ret>
<net.sourceforge.squirrel_sql.plugins.graph.xmlbeans.ColumnInfoXmlBean; setNonDbConstraint[boolean]; void; net.sourceforge.squirrel_sql.plugins.graph.ColumnInfo; getXmlBean[]; net.sourceforge.squirrel_sql.plugins.graph.xmlbeans.ColumnInfoXmlBean; null; ret>
<java.lang.String; endsWith[java.lang.String]; boolean; net.sourceforge.squirrel_sql.plugins.graph.ColumnInfo; setImportData[java.lang.String, java.lang.String, java.lang.String, boolean]; void; null; _toString>
<net.sourceforge.squirrel_sql.plugins.graph.ColumnInfo; setImportData[java.lang.String, java.lang.String, java.lang.String, boolean]; void; net.sourceforge.squirrel_sql.plugins.graph.ColumnInfo; clearImportData[]; void; null; this>
<java.lang.String; equals[java.lang.Object]; boolean; net.sourceforge.squirrel_sql.plugins.graph.ColumnInfo; isImportedFrom[java.lang.String]; boolean; null; tableName>
